Country,total_cases1m_pop,deaths1m_pop,test1m_pop,death_rate
Estonia,1490.3848690881211,52.0,74632.0,3.4890316641375825
Ethiopia,32.73656437272645,0.5,1719.0,1.5273441473796223
Finland,1284.56220470366,59.0,40502.0,4.593004510327385
France,2423.445229209344,453.0,21214.0,18.6923968629484
Gabon,1850.4649776788224,13.0,10679.0,0.7025261302868255
Gambia,14.088849255943009,0.4,816.0,2.839124705882353
Georgia,222.5881334957291,4.0,19591.0,1.797040990990991
Germany,2256.391470831407,106.0,60039.0,4.697766383638316
Ghana,405.5675174886899,2.0,8311.0,0.49313613979348686
Greece,307.25010484682,18.0,25414.0,5.858419481735873
Guatemala,598.078707068468,23.0,1756.0,3.845647692882496
Guinea,353.71477139267165,2.0,1099.0,0.5654273334770424
Guyana,217.44438001647998,15.0,2537.0,6.898315789473684
Haiti,398.9738116292574,7.0,821.0,1.75450112161865
Honduras,975.5766369197966,33.0,2176.0,3.3826148301574155
Hong Kong,149.57481923262648,0.5,36732.0,0.3342808652988403
Hungary,422.10129851525505,59.0,25063.0,13.977687395782246
Iceland,5320.13120059093,29.0,190824.0,0.5450993388429752
India,266.23829662421963,9.0,4411.0,3.3804302814868867
Indonesia,151.53677606556815,8.0,2048.0,5.279246535203109
Iran,2323.478954302365,109.0,15723.0,4.691241114887901
Iraq,603.634399744151,19.0,9458.0,3.1476006019625626
Ireland,5134.415475741351,346.0,78325.0,6.738839146047907
Isle of Man,3952.197233461937,282.0,66105.0,7.1352714285714285
Israel,2150.8895264955277,33.0,85769.0,1.5342489511196482
Italy,3933.3228446047224,570.0,78945.0,14.491564067309149
Ivory Coast,215.54918451697188,2.0,1466.0,0.9278624757879909
Jamaica,209.7490408456703,3.0,5724.0,1.4302806763285025
Japan,139.03912964461608,7.0,2724.0,5.034553954625576
Jordan,96.77387093718876,0.9,29660.0,0.9300031003039513
Kazakhstan,828.1391252416827,5.0,63110.0,0.6037632865783039
Kenya,75.28520274366534,2.0,2270.0,2.656564540059347
Kuwait,8794.349572408053,72.0,80375.0,0.8187075053952522
Kyrgyzstan,392.97697081325373,5.0,23102.0,1.27233918813427
Latvia,585.1105270605669,16.0,69771.0,2.7345260869565213
Lebanon,218.12186962523322,5.0,16071.0,2.292296507723304
Libya,70.47861825795204,1.0,2043.0,1.418870041322314
Liechtenstein,2150.8760885531424,26.0,23607.0,1.208809756097561
Lithuania,652.8666279401948,28.0,137907.0,4.288777952755905
Luxembourg,6530.441288375335,176.0,198345.0,2.6950705507955934
Madagascar,49.826100401110956,0.4,593.0,0.8027921044992744
Malawi,29.519939829569452,0.3,446.0,1.0162622340425533
Malaysia,263.22631063672327,4.0,20537.0,1.5196049324721081
Maldives,3925.053691772199,15.0,65787.0,0.38216037735849057
Mali,93.4658378900814,5.0,488.0,5.349548148148148
Malta,1499.4337485843714,20.0,192444.0,1.3338368580060422
Mauritania,478.71938365579234,20.0,2981.0,4.177812865497076
Mauritius,265.0012738933641,8.0,108351.0,3.0188534124629083
Mexico,1201.6292771744,142.0,3325.0,11.817288634470469
Moldova,3155.950349553973,107.0,15697.0,3.390420892240025
Monaco,2523.514567561367,102.0,412939.0,4.041981818181818
Montenegro,530.2015880572491,14.0,20995.0,2.6405051051051047
Montserrat,2203.525641025641,200.0,12220.0,9.076363636363636
Morocco,243.87128052589023,6.0,12787.0,2.4603143047682563
Mozambique,20.857716730419938,0.1,649.0,0.47943886328725044
Myanmar,4.8165619726255295,0.1,1019.0,2.076169694656489
Nepal,246.51905612569456,0.7,13166.0,0.28395370767730244
Netherlands,2871.8028693281835,355.0,28271.0,12.36157271766523
New Zealand,301.0735491093741,4.0,63224.0,1.3285790172642762
Niger,42.05543800821472,3.0,261.0,7.133441338582677
Nigeria,83.28629779977446,2.0,504.0,2.401355388383485
North Macedonia,2151.314908439519,101.0,22293.0,4.694803145917001
Norway,1601.6024881669623,45.0,54043.0,2.809685944700461
Oman,5113.237656439604,23.0,29110.0,0.4498128494190728
Pakistan,701.2322829762434,13.0,4308.0,1.8538792801757558
Palestine,108.52133886680959,0.6,8807.0,0.5528866546112116
Panama,5093.452633580793,106.0,21718.0,2.0811030871505327
Paraguay,183.47892881971427,2.0,7179.0,1.0900434250764526
Peru,7310.80964573612,220.0,43029.0,3.0092426237401835
Philippines,248.70464807328997,10.0,4902.0,4.020833578089434
Poland,811.1645367245424,34.0,32950.0,4.191504739259307
Portugal,3694.1598110479226,149.0,98705.0,4.033393454024209
Qatar,29622.42748339005,29.0,108555.0,0.09789879649890591
Romania,1182.841030323138,75.0,30421.0,6.340666080843585
Russia,3791.4927006462467,51.0,107445.0,1.3451166605518514
Rwanda,49.1625666941235,0.2,7483.0,0.40681358490566044
Saint Martin,1087.0409193260346,78.0,17729.0,7.175442857142858
San Marino,20514.029709974064,1238.0,160133.0,6.0348942528735625
Sao Tome and Principe,3119.063276340786,55.0,7028.0,1.7633499267935577
Saudi Arabia,4059.577725044077,31.0,33566.0,0.7636262217313111
Senegal,321.070539717843,4.0,3819.0,1.2458321475135035
Singapore,7047.242135586573,4.0,98519.0,0.05675979231366459
Sint Maarten,1796.7145790554414,350.0,11130.0,19.48
Slovakia,285.9211055567237,5.0,36410.0,1.7487341447789881
Slovenia,722.9687608228857,52.0,43541.0,7.1925652694610775
South Africa,1356.5377563855432,28.0,20256.0,2.0640781923096054
South Sudan,158.73739418624294,3.0,300.0,1.8899138513513511
Spain,6240.368097511294,580.0,103232.0,9.294323522859308
Sri Lanka,89.86504875949568,0.5,4204.0,0.5563898388773388
Sudan,176.71032766386938,11.0,9.0,6.22487669250646
Suriname,402.44056328036805,10.0,1987.0,2.4848389830508477
Sweden,5403.870538862814,499.0,32188.0,9.234122031817016
Switzerland,3604.0769538563036,226.0,54926.0,6.270676317224128
Taiwan,18.68553751992949,0.3,3137.0,1.605519775280899
Thailand,44.91818635923657,0.8,6708.0,1.7810158086124401
Togo,64.93763266413713,2.0,3094.0,3.079878212290503
Trinidad and Tobago,87.89983706371666,6.0,2938.0,6.825951219512196
Tunisia,95.48334166978525,4.0,5326.0,4.189212411347517
Turkey,2167.530112562174,58.0,32904.0,2.675856711925441
UAE,4386.657496269005,30.0,265643.0,0.6838920071949082
UK,4409.020869280976,621.0,104932.0,14.084759823358986
Ukraine,759.7684043745596,22.0,11842.0,2.895619227297346
Uruguay,244.43732341994593,7.0,15687.0,2.8637197879858656
Uzbekistan,169.87355063734122,0.6,22379.0,0.3532038965153115
Venezuela,110.76464243520743,0.9,38031.0,0.8125336571428572
Yemen,30.273383419784764,8.0,4.0,26.425853658536585
Zambia,76.91423991436154,0.6,2465.0,0.7800896175637394
Zimbabwe,26.996745983241013,0.3,3562.0,1.1112450374064837
