Country,total_cases1m_pop,deaths1m_pop,test1m_pop,death_rate(%)
South Sudan,149.28232299742456,2.0,300.0,1.3397433532934133
Paraguay,176.90978036110639,2.0,6332.0,1.1305197462331484
Kenya,64.37285532438183,2.0,2089.0,3.1068996239514033
Togo,63.502838334958,2.0,3000.0,3.1494655238095235
CAR,426.31072933123517,1.0,3921.0,0.23457068546426835
Jordan,93.45035579776598,0.9,26169.0,0.9630781951731374
Libya,59.566209443822004,0.9,1713.0,1.5109237408312957
Venezuela,101.23224857886309,0.8,37511.0,0.7902620076415422
Thailand,44.90508663730078,0.8,6708.0,1.7815353669432037
Nepal,183.28525716948542,0.6,10921.0,0.32735857169634486
Uzbekistan,147.62384809592746,0.6,22383.0,0.4064383957869151
Palestine,95.9863758233678,0.6,8809.0,0.6250887116564418
Ethiopia,27.57971445622268,0.5,1538.0,1.8129266740366392
Zambia,71.97945125612588,0.5,1539.0,0.6946426949280848
Sri Lanka,88.00077649942067,0.5,3961.0,0.5681768046709129
Hong Kong,148.12021436597942,0.5,32292.0,0.33756364864864863
Benin,34.03806165796589,0.5,3780.0,1.4689438106796118
Botswana,20.43486238610225,0.4,11409.0,1.957439166666667
Madagascar,45.28293752296472,0.4,560.0,0.8833349201277957
Gambia,11.606164697280137,0.4,817.0,3.4464442857142856
Taiwan,18.60192469033884,0.3,3097.0,1.6127363431151243
Malawi,27.695885564161,0.3,350.0,1.0831933837429113
Zimbabwe,23.095658581794588,0.3,3562.0,1.2989454227405246
Angola,3.9631796224278775,0.2,305.0,5.046453076923077
Rwanda,39.43354257338041,0.2,6620.0,0.507182431372549
Myanmar,4.798529245270774,0.1,844.0,2.083971877394636
Burundi,7.1616537758302945,0.08,32.0,1.117060423529412
Mozambique,17.72330068880823,0.06,579.0,0.33853739240506325
